Posicao;cnpj8;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;30680829;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;NU FINANCEIRA S.A. CFI;1,47;19,15
2;04866275;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO INBURSA;1,55;20,25
3;10264663;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCOSEGURO S.A.;1,56;20,42
4;61820817;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO PAULISTA S.A.;1,57;20,58
5;00416968;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO INTER;1,60;20,92
6;03311443;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;PARATI - CFI S.A.;1,60;21,04
7;58160789;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO SAFRA S.A.;1,61;21,06
8;17167412;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;FINANC ALFA S.A. CFI;1,61;21,13
9;02038232;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO SICOOB S.A.;1,65;21,69
10;00795423;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO SEMEAR;1,72;22,64
11;59285411;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO PAN;1,72;22,73
12;09516419;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;PICPAY BANK - BANCO MÚLTIPLO S.A;1,73;22,84
13;13009717;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO DO EST. DE SE S.A.;1,74;23,01
14;62232889;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO DAYCOVAL S.A;1,74;23,02
15;00556603;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO BARI S.A.;1,74;23,05
16;01181521;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO COOPERATIVO SICREDI S.A.;1,75;23,10
17;28127603;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO BANESTES S.A.;1,75;23,15
18;61348538;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO C6 CONSIG;1,75;23,19
19;92702067;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO DO ESTADO DO RS S.A.;1,78;23,51
20;60701190;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;ITAÚ UNIBANCO S.A.;1,78;23,52
21;10664513;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO AGIBANK S.A.;1,81;24,08
22;61186680;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO BMG S.A.;1,82;24,20
23;00000000;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO DO BRASIL S.A.;1,84;24,39
24;05351887;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;ZEMA CFI S/A;1,84;24,40
25;33136888;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BRB - CFI S/A;1,84;24,52
26;20443996;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BECKER FINANCEIRA SA - CFI;1,85;24,62
27;17184037;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO MERCANTIL DO BRASIL S.A.;1,85;24,66
28;60746948;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO BRADESCO S.A.;1,85;24,67
29;15581638;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;FACTA S.A. CFI;1,86;24,72
30;90400888;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO SANTANDER (BRASIL) S.A.;1,86;24,76
31;43180355;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;PEFISA S.A. - C.F.I.;1,86;24,79
32;07652226;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;LECCA CFI S.A.;1,88;25,00
33;27098060;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BANCO DIGIO;1,88;25,01
34;08357240;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;BCO CSF S.A.;1,88;25,10
35;11760553;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;GAZINCRED S.A. SCFI;1,89;25,18
36;14388334;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;PARANA BCO S.A.;1,89;25,23
37;00360305;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;CAIXA ECONOMICA FEDERAL;1,91;25,52
38;74828799;Pessoa Física;Crédito pessoal consignado INSS - Prefixado;NOVO BCO CONTINENTAL S.A. - BM;1,92;25,61
